Min Players (group),Category,Category (group),Min Players,Name,Playtime,Avg Rating,Cnull,maxNRatePerMinPlayandCat,NamesMaxNR,Num Ratings,Playtime Num
Solo Support,Economic,Economic,1,Agricola,,7.98857,1,61557,Agricola,61557,150
Not Support Solo,Economic,Economic,3,Puerto Rico,,8.0359,1,61157,Puerto Rico,61157,150
Not Support Solo,Fighting,Fighting,2,Small World,,7.29949,1,59211,Small World,59211,80
Not Support Solo,Deduction,Deduction,2,Codenames,,7.71148,1,62563,Codenames,62563,15
Not Support Solo,Economic,Economic,2,Power Grid,,7.89004,1,61157,Power Grid,54420,120
Not Support Solo,Fighting,Fighting,2,King of Tokyo,,7.23048,1,59211,King of Tokyo,54881,30
Not Support Solo,Deduction,Deduction,2,Love Letter,,7.25253,1,62563,Love Letter,53131,20
Not Support Solo,Economic,Economic,2,Splendor,,7.47331,1,61157,Splendor,54445,30
Not Support Solo,Bluffing,Bluffing,2,Citadels,,7.10124,1,46905,Citadels,46905,60
Not Support Solo,Party Game,Party Game,3,Dixit,,7.29405,1,47812,Dixit,47812,30
Not Support Solo,Economic,Economic,2,Race for the Galaxy,,7.7624,1,61157,Race for the Galaxy,44579,60
Solo Support,Economic,Economic,1,Scythe,,8.2841,1,61557,Scythe,52513,115
Solo Support,Economic,Economic,1,Terraforming Mars,,8.40331,1,61557,Terraforming Mars,57359,120
Not Support Solo,Fighting,Fighting,3,Munchkin,,5.92127,1,59211,Munchkin,39939,120
Solo Support,Fighting,Fighting,1,Arkham Horror,,7.29157,1,37075,Arkham Horror,36102,360
Not Support Solo,Bluffing,Bluffing,2,Dead of Winter: A Crossroads Game,,7.67747,1,46905,Dead of Winter: A Crossroads Game,37602,120
Not Support Solo,Economic,Economic,2,Terra Mystica,,8.19293,1,61157,Terra Mystica,37276,150
Not Support Solo,Deduction,Deduction,2,Hanabi,,7.1373,1,62563,Hanabi,36775,25
Not Support Solo,Bluffing,Bluffing,5,The Resistance,,7.33418,1,46905,The Resistance,34774,30
Not Support Solo,Bluffing,Bluffing,3,Battlestar Galactica: The Board Game,,7.74082,1,46905,Battlestar Galactica: The Board Game,32005,300
Not Support Solo,Bluffing,Bluffing,2,Coup,,7.03729,1,46905,Coup,33927,15
Not Support Solo,Fighting,Fighting,2,Star Realms,,7.60884,1,59211,Star Realms,33898,20
Not Support Solo,Fighting,Fighting,2,Magic: The Gathering,,7.47773,1,59211,Magic: The Gathering,31086,20
Solo Support,Fighting,Fighting,1,Robinson Crusoe: Adventures on the Cursed Island,,7.90738,1,37075,Robinson Crusoe: Adventures on the Cursed Island,31773,120
Not Support Solo,Fighting,Fighting,2,Blood Rage,,8.03108,1,59211,Blood Rage,31455,90
Not Support Solo,Economic,Economic,2,Caylus,,7.81108,1,61157,Caylus,26174,150
Solo Support,Fighting,Fighting,1,Gloomhaven,,8.89906,1,37075,Gloomhaven,37075,120
